id_course,heure_depart,distance_km,pluie,jour_semaine,vehicule_type,retard
1000,16:00,11,non,mardi,camion,non
1001,08:00,178,oui,vendredi,camionnette,oui
1002,06:00,28,oui,mardi,fourgon,non
1003,15:00,148,oui,vendredi,camionnette,oui
1004,09:45,155,non,lundi,camion,oui
1005,17:45,92,non,mardi,camion,oui
1006,18:30,31,oui,jeudi,camion,oui
1007,11:30,159,non,lundi,fourgon,oui
1008,13:00,101,oui,vendredi,camionnette,oui
1009,16:30,152,oui,lundi,camion,oui
1010,16:15,79,oui,mardi,camion,oui
1011,12:30,121,non,mardi,camionnette,oui
1012,11:15,176,non,lundi,fourgon,oui
1013,16:15,141,oui,mardi,camionnette,oui
1014,12:30,168,oui,mercredi,camion,oui
1015,09:00,85,non,mercredi,camion,non
1016,09:30,59,non,jeudi,fourgon,non
1017,13:15,72,oui,mardi,fourgon,oui
1018,14:30,196,non,vendredi,camionnette,oui
1019,11:15,40,non,lundi,camion,non
1020,07:15,165,oui,jeudi,fourgon,oui
1021,07:45,102,non,vendredi,camionnette,oui
1022,14:00,179,oui,vendredi,camionnette,oui
1023,18:30,33,non,jeudi,camion,non
1024,13:00,189,non,vendredi,camion,oui
1025,14:00,165,non,vendredi,fourgon,oui
1026,09:15,100,oui,vendredi,fourgon,oui
1027,06:30,130,oui,lundi,camionnette,oui
1028,18:30,66,oui,mardi,fourgon,oui
1029,07:00,192,non,lundi,fourgon,oui
1030,18:15,37,non,vendredi,camion,non
1031,10:45,59,oui,mercredi,camionnette,oui
1032,14:00,112,oui,jeudi,camion,oui
1033,08:30,75,non,lundi,fourgon,non
1034,10:00,95,oui,mercredi,camionnette,oui
1035,16:45,130,oui,vendredi,camion,oui
1036,07:30,45,non,mardi,fourgon,non
1037,13:45,160,oui,lundi,camionnette,oui
1038,09:00,88,non,jeudi,camion,non
1039,15:30,175,oui,vendredi,fourgon,oui
1040,11:00,55,non,mercredi,camionnette,non
1041,17:00,140,oui,mardi,camion,oui
1042,08:15,65,non,lundi,fourgon,non
1043,14:45,185,oui,vendredi,camionnette,oui
1044,10:30,78,non,jeudi,camion,non
1045,16:00,125,oui,mardi,fourgon,oui
1046,09:45,48,non,mercredi,camionnette,non
1047,13:30,155,oui,lundi,camion,oui
1048,07:00,35,non,jeudi,fourgon,non
1049,15:15,170,oui,vendredi,camion,oui
1050,11:45,82,non,mardi,camionnette,non
1051,17:30,145,oui,lundi,fourgon,oui
1052,08:45,58,non,mercredi,camion,non
1053,14:15,192,oui,vendredi,camionnette,oui
1054,10:15,70,non,jeudi,fourgon,non
1055,16:30,135,oui,mardi,camion,oui
1056,09:30,42,non,lundi,camionnette,non
1057,13:00,162,oui,vendredi,fourgon,oui
1058,07:45,28,non,jeudi,camion,non
1059,15:45,178,oui,mardi,camionnette,oui
1060,11:30,90,non,mercredi,fourgon,non
1061,17:15,148,oui,lundi,camion,oui
1062,08:00,62,non,vendredi,camionnette,non
1063,14:30,188,oui,mardi,fourgon,oui
1064,10:45,73,non,mercredi,camion,non
1065,16:15,128,oui,jeudi,camionnette,oui
1066,09:15,52,non,lundi,fourgon,non
1067,13:45,158,oui,vendredi,camion,oui
1068,07:30,38,non,mardi,camionnette,non
1069,15:00,172,oui,jeudi,fourgon,oui
1070,11:15,86,non,lundi,camion,non
1071,17:45,142,oui,vendredi,camionnette,oui
1072,08:30,68,non,mardi,fourgon,non
1073,14:00,195,oui,jeudi,camion,oui
1074,10:00,76,non,mercredi,camionnette,non
1075,16:45,132,oui,lundi,fourgon,oui
1076,09:00,46,non,vendredi,camion,non
1077,13:15,165,oui,mardi,camionnette,oui
1078,07:15,32,non,mercredi,fourgon,non
1079,15:30,182,oui,lundi,camion,oui
1080,11:00,80,non,jeudi,camionnette,non
1081,17:00,138,oui,vendredi,fourgon,oui
1082,08:15,60,non,mardi,camion,non
1083,14:45,190,oui,lundi,camionnette,oui
1084,10:30,72,non,vendredi,fourgon,non
1085,16:00,122,oui,mercredi,camion,oui
1086,09:45,50,non,jeudi,camionnette,non
1087,13:30,168,oui,vendredi,fourgon,oui
1088,07:00,36,non,lundi,camion,non
1089,15:15,176,oui,mardi,camionnette,oui
1090,11:45,84,non,jeudi,fourgon,non
1091,17:30,144,oui,mercredi,camion,oui
1092,08:45,64,non,vendredi,camionnette,non
1093,14:15,186,oui,lundi,fourgon,oui
1094,10:15,74,non,mardi,camion,non
1095,16:30,126,oui,jeudi,camionnette,oui
1096,09:30,44,non,mercredi,fourgon,non
1097,13:00,160,oui,vendredi,camion,oui
1098,07:45,30,non,lundi,camionnette,non
1099,15:45,180,oui,mardi,fourgon,oui
